title,price,link
"Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows
                    11 Home) NP750XGJ-K...","₹49,790",https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-np750xgj-kg1in-np750xgj-lg1in-np750xgj-lg6in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDFZXHWYWZ&lid=LSTCOMGZUYDFZXHWYWZJ6V2KW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en__jv_gqvxoNwRa7reHIQ9ZjGIhkodav0nkBavCBLCNrzlNbIYKwY6Sohxsc8FhWvpWfvoji5Qb3CdidnsAAcuOk4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
"ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home)
                    P1403CVA-S60343WS ...","₹38,990",https://www.flipkart.com/asus-expertbook-p1-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-p1403cva-s60343ws-thin-light-laptop/p/itm275e21a6deac0?pid=COMH8Z2QRWQQZTCJ&lid=LSTCOMH8Z2QRWQQZTCJ7QVQUG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en__jv_gqvxoNwRa7reHIQ9ZjGIhkodav0nkBavCBLCNrxoEVs3O8Ub0UGWYvY9jw5pGoOC0fLm5aXQa_ExNPzNRIQEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
Lenovo LOQ Essential Intel Core i7 12650HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,"₹80,990",https://www.flipkart.com/lenovo-loq-essential-intel-core-i7-12650hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-15iax9e-gaming-laptop/p/itmd07e54ebaf097?pid=COMHGEQVUDH5RKJH&lid=LSTCOMHGEQVUDH5RKJH61KR61&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en__jv_gqvxoNwRa7reHIQ9ZjGIhkodav0nkBavCBLCNrymrZ6MYsGok4lQU5g53hmWavg4ech7pg1i_ol-KUa0PhwzNSegu-44dqPRuAwab_o%3D&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,"₹43,990",https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg9in-thin-light-laptop/p/itmc29d559898e6f?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en__jv_gqvxoNwRa7reHIQ9ZjGIhkodav0nkBavCBLCNrxeAWt2ZVcSjhet7CQ1OXBoa4sIMJpTUHtYIweD_q1LCA1kFuKnWaINrJqv3pKVKuU%3D&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ5542WS ...,"₹45,960",https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-5-quad-core-7520u-16-gb-512-gb-ssd-windows-11-home-e1504fa-nj5542ws-e1504fa-nj1505ws-thin-light-laptop/p/itm24ce8ebbf5e72?pid=COMH8VXVXPVQTHHR&lid=LSTCOMH8VXVXPVQTHHRXOEFM3&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=fc3f6a77-b6e5-4731-a411-0f82a26290d3.COMH8VXVXPVQTHHR.SEARCH&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
ASUS TUF Gaming A15 (2025) AMD Ryzen 7 Hexa Core 7445HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graph...,"₹71,000",https://www.flipkart.com/asus-tuf-gaming-a15-2025-amd-ryzen-7-hexa-core-7445hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-fa506ncg-hn199w-laptop/p/itmca7ce1e457d2f?pid=COMHEDHRYUAEEEJG&lid=LSTCOMHEDHRYUAEEEJGVUMLP8&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=fc3f6a77-b6e5-4731-a411-0f82a26290d3.COMHEDHRYUAEEEJG.SEARCH&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an...,"₹40,990",https://www.flipkart.com/acer-aspire-15-amd-ryzen-5-hexa-core-7430u-16-gb-512-gb-ssd-windows-11-home-as15-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH397XW36HUXB8&lid=LSTCOMH397XW36HUXB8LCSOPU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=fc3f6a77-b6e5-4731-a411-0f82a26290d3.COMH397XW36HUXB8.SEARCH&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
HP Intel Core i3 N305 - (8 GB/Chrome OS) 15a-nb0002TU Chromebook,"₹29,990",https://www.flipkart.com/hp-intel-core-i3-n305-8-gb-chrome-os-15a-nb0002tu-chromebook/p/itm49c5d20208887?pid=COMGQY48SSDS4AZ8&lid=LSTCOMGQY48SSDS4AZ8QA8HGM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_TrendingId_6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=fc3f6a77-b6e5-4731-a411-0f82a26290d3.COMGQY48SSDS4AZ8.SEARCH&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
Lenovo LOQ Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹90,990",https://www.flipkart.com/lenovo-loq-intel-core-i5-13th-gen-13450hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-15irx9-gaming-laptop/p/itm975f0ea246a0e?pid=COMHYXV9DUMPQSZA&lid=LSTCOMHYXV9DUMPQSZA1UUBRE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en__jv_gqvxoNwRa7reHIQ9ZjGIhkodav0nkBavCBLCNry7uSdYLhj94nY2tztrXDRGsWk--bwri7HQsnMNpKgicXtjxUXD9W_ExODsgnsmU2Y%3D&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
ASUS ExpertBook P1 (i5 14th Gen) Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S7222...,"₹55,990",https://www.flipkart.com/asus-expertbook-p1-i5-14th-gen-intel-core-5-210h-16-gb-512-gb-ssd-windows-11-home-p1503cva-s72222ws-laptop/p/itm729cd00980e6a?pid=COMHGYAFCZG8YRYS&lid=LSTCOMHGYAFCZG8YRYSWDI8LO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en__jv_gqvxoNwRa7reHIQ9ZjGIhkodav0nkBavCBLCNryLuMA85lo91FPPK8G0Jw2v7sxbFdVnWti9oHG1WvcoAx7zrT4gkWAkPCdPBnPCejA%3D&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ133WS | ...,"₹37,990",https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj133ws-e1504fa-nj522ws-thin-light-laptop/p/itm45fbf62c111f5?pid=COMH9499ZGGSBUHQ&lid=LSTCOMH9499ZGGSBUHQNDCH7U&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_TrendingId_6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=fc3f6a77-b6e5-4731-a411-0f82a26290d3.COMH9499ZGGSBUHQ.SEARCH&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
Ultimus APEX Pro Intel Pentium Quad Core N4200 - (4 GB/128 GB SSD/128 GB EMMC Storage/Windows 11 Home)...,"₹13,990",https://www.flipkart.com/ultimus-apex-pro-intel-pentium-quad-core-n4200-4-gb-128-gb-ssd-128-emmc-storage-windows-11-home-nu14u8inb43sn-cs-laptop/p/itma4de681706501?pid=COMHESPKQJYNFQQC&lid=LSTCOMHESPKQJYNFQQCBJZKJY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=fc3f6a77-b6e5-4731-a411-0f82a26290d3.COMHESPKQJYNFQQC.SEARCH&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, AMD Ryzen 3 Quad Core 7320U - (16 GB/512 GB...","₹35,990",https://www.flipkart.com/asus-vivobook-go-15-2025-office-2024-m365-basic-amd-ryzen-3-quad-core-7320u-16-gb-512-gb-ssd-windows-11-home-e1504fa-bq2343ws-thin-light-laptop/p/itm7ff34a6e7f0c7?pid=COMHEZZTU6WC2M2H&lid=LSTCOMHEZZTU6WC2M2HMNXX7O&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=fc3f6a77-b6e5-4731-a411-0f82a26290d3.COMHEZZTU6WC2M2H.SEARCH&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,"₹49,990",https://www.flipkart.com/motorola-motobook-60-full-metal-oled-i5-14th-gen-intel-core-5-series-2-210h-16-gb-512-gb-ssd-windows-11-home-14irh10r-thin-light-laptop/p/itme7b254581c42e?pid=COMHAUZW4MMNNCGT&lid=LSTCOMHAUZW4MMNNCGTEVATRK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=en__jv_gqvxoNwRa7reHIQ9ZjGIhkodav0nkBavCBLCNrwJY56HFlObJVxb-pGd8k5r8B9zz3p1e3tT_c6M6IIHbDaXAI15xQIPam6Hsx54Dy4%3D&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S71074WS...,"₹43,990",https://www.flipkart.com/asus-expertbook-p1-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-p1503cva-s71074ws-thin-light-laptop/p/itmf84b442d31b6b?pid=COMH8Z2QENXVKHGX&lid=LSTCOMH8Z2QENXVKHGXT2JJBZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=en__jv_gqvxoNwRa7reHIQ9ZjGIhkodav0nkBavCBLCNrzJ4EogovQWbxA4mzHRUem2ARtlyIS6IaikCFw9yZtX81mOBtEFy0FmBP0CX6jfuRQ%3D&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹24,224",https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZY2QDJ5Z4&lid=LSTCOMH7NCZY2QDJ5Z4NYYVCO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=fc3f6a77-b6e5-4731-a411-0f82a26290d3.COMH7NCZY2QDJ5Z4.SEARCH&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
HP 15s AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0030AU | 15-fc0690AU Thin...,"₹46,990",https://www.flipkart.com/hp-15s-amd-ryzen-5-quad-core-7520u-16-gb-512-gb-ssd-windows-11-home-15-fc0030au-15-fc0690au-thin-light-laptop/p/itm6ce58d3e95838?pid=COMGZNSBGP8AGWVF&lid=LSTCOMGZNSBGP8AGWVFFLW3FB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=fc3f6a77-b6e5-4731-a411-0f82a26290d3.COMGZNSBGP8AGWVF.SEARCH&ppt=None&ppn=None&ssid=u5hlqtj48w0000001773084071653&qH=312f91285e048e09&ov_redirect=true
